Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Umi,4.0,127,$$$$,Japanese,40.45713,-79.92961,5847 Ellsworth Ave,Pittsburgh, PA 15232
Olive or Twist,3.5,242,$$,American (New),40.44294,-80.00257,140 6th St,Pittsburgh, PA 15222
Reyna Foods,4.0,97,$,Grocery,40.4515794,-79.9834798,2023 Penn Ave,Pittsburgh, PA 15222
Chaya Japanese Cuisine,3.5,199,$$,Japanese,40.43389,-79.92311,2032 Murray Ave,Pittsburgh, PA 15217
El Burro,4.0,171,$,Tacos,40.45588,-80.00653,1108 Federal St,Pittsburgh, PA 15212
Bangal Kabab House and Restaurant,4.0,125,$$,Indian,40.439047,-79.9554689,320 Atwood St,Pittsburgh, PA 15213
The Yard Gastropub,3.5,259,$$,American (New),40.4513696,-79.9341804,736 Bellefonte St,Pittsburgh, PA 15232
Kavsar Restaurant,4.5,105,$$,Uzbek,40.4289202,-80.0074459,16 Southern Ave,Pittsburgh, PA 15211
Ginza,4.0,118,$$,Japanese,40.4612998962402,-79.9488983154297,4734 Liberty Ave,Pittsburgh, PA 15224
Showcase BBQ,4.5,76,$,Barbeque,40.4581,-79.90598,6800 Frankstown Ave,Pittsburgh, PA 15208
Little Tokyo,4.0,150,$$,Sushi Bars,40.3818,-80.04437,636 Washington Rd,Pittsburgh, PA 15228
P&G's Pamela's Diner,3.5,207,$,Breakfast & Brunch,40.4413058,-79.9575342,3703 Forbes Ave,Pittsburgh, PA 15213
Aladdin's Eatery,4.0,108,$$,Vegetarian,40.3818982581921,-80.0442885177365,630 Washington Rd,Pittsburgh, PA 15228
Turkish Kebab House,4.5,110,$$,Turkish,40.438175,-79.922191,5819 Forbes Ave,Pittsburgh, PA 15217
East End Food Co-Op,4.5,99,$$,Health Markets,40.44827,-79.89574,7516 Meade St,Pittsburgh, PA 15208
Daphne Cafe,4.0,139,$$,Mediterranean,40.4563938195113,-79.9305386851092,5811 Ellsworth Ave,Pittsburgh, PA 15232
Eddie Merlot's - Pittsburgh,4.0,153,$$$,Seafood,40.4408,-80.00464,444 Liberty Ave,Ste 100,Pittsburgh, PA 15222
